Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime
2010-2011,2010-12-19,Toronto Raptors,110,120,Los Angeles Lakers,0OT
2010-2011,2010-12-19,Detroit Pistons,111,108,New Orleans Pelicans,1OT
2010-2011,2010-12-19,Sacramento Kings,93,102,Houston Rockets,0OT
2010-2011,2010-12-19,Oklahoma City Thunder,110,113,Phoenix Suns,0OT
2010-2011,2010-12-20,Atlanta Hawks,91,81,Orlando Magic,0OT
2010-2011,2010-12-20,Cleveland Cavaliers,90,101,Utah Jazz,0OT
2010-2011,2010-12-20,Indiana Pacers,94,93,New Orleans Pelicans,0OT
2010-2011,2010-12-20,Washington Wizards,108,75,Charlotte Hornets,0OT
2010-2011,2010-12-20,Miami Heat,96,98,Dallas Mavericks,0OT
2010-2011,2010-12-20,San Antonio Spurs,118,110,Phoenix Suns,0OT
2010-2011,2010-12-20,Portland Trail Blazers,106,80,Milwaukee Bucks,0OT
2010-2011,2010-12-20,Golden State Warriors,112,121,Houston Rockets,0OT
2010-2011,2010-12-20,Los Angeles Clippers,113,90,Minnesota Timberwolves,0OT
2010-2011,2010-12-21,Charlotte Hornets,81,99,Oklahoma City Thunder,0OT
2010-2011,2010-12-21,Orlando Magic,99,105,Dallas Mavericks,0OT
2010-2011,2010-12-21,Chicago Bulls,121,76,Philadelphia 76ers,0OT
2010-2011,2010-12-21,Memphis Grizzlies,94,101,Brooklyn Nets,0OT
2010-2011,2010-12-21,Sacramento Kings,109,117,Golden State Warriors,1OT
2010-2011,2010-12-21,Los Angeles Lakers,79,98,Milwaukee Bucks,0OT
2010-2011,2010-12-22,Atlanta Hawks,98,84,Cleveland Cavaliers,0OT
2010-2011,2010-12-22,Toronto Raptors,93,115,Detroit Pistons,0OT
2010-2011,2010-12-22,Washington Wizards,80,87,Chicago Bulls,0OT
2010-2011,2010-12-22,Boston Celtics,84,80,Philadelphia 76ers,0OT
2010-2011,2010-12-22,New York Knicks,112,98,Oklahoma City Thunder,0OT
2010-2011,2010-12-22,Minnesota Timberwolves,107,112,Utah Jazz,0OT
2010-2011,2010-12-22,New Orleans Pelicans,105,91,Brooklyn Nets,0OT
2010-2011,2010-12-22,San Antonio Spurs,109,103,Denver Nuggets,0OT
2010-2011,2010-12-22,Los Angeles Clippers,92,97,Houston Rockets,0OT
2010-2011,2010-12-23,Orlando Magic,123,101,San Antonio Spurs,0OT
2010-2011,2010-12-23,Sacramento Kings,79,84,Milwaukee Bucks,0OT
2010-2011,2010-12-23,Phoenix Suns,83,95,Miami Heat,0OT
2010-2011,2010-12-25,New York Knicks,103,95,Chicago Bulls,0OT
2010-2011,2010-12-25,Orlando Magic,86,78,Boston Celtics,0OT
2010-2011,2010-12-25,Los Angeles Lakers,80,96,Miami Heat,0OT
2010-2011,2010-12-25,Oklahoma City Thunder,114,106,Denver Nuggets,0OT
2010-2011,2010-12-25,Golden State Warriors,109,102,Portland Trail Blazers,0OT
2010-2011,2010-12-26,Los Angeles Clippers,108,103,Phoenix Suns,0OT
2010-2011,2010-12-26,Cleveland Cavaliers,97,98,Minnesota Timberwolves,0OT
2010-2011,2010-12-26,Detroit Pistons,92,95,Chicago Bulls,1OT
2010-2011,2010-12-26,Indiana Pacers,90,104,Memphis Grizzlies,0OT
2010-2011,2010-12-26,New Orleans Pelicans,93,86,Atlanta Hawks,0OT
2010-2011,2010-12-26,San Antonio Spurs,94,80,Washington Wizards,0OT
2010-2011,2010-12-26,Denver Nuggets,89,95,Philadelphia 76ers,0OT
2010-2011,2010-12-27,Charlotte Hornets,105,100,Detroit Pistons,0OT
2010-2011,2010-12-27,Brooklyn Nets,88,104,Orlando Magic,0OT
2010-2011,2010-12-27,Memphis Grizzlies,96,85,Toronto Raptors,0OT
2010-2011,2010-12-27,Milwaukee Bucks,80,95,Atlanta Hawks,0OT
2010-2011,2010-12-27,Minnesota Timberwolves,113,98,New Orleans Pelicans,0OT
2010-2011,2010-12-27,Oklahoma City Thunder,93,103,Dallas Mavericks,0OT
2010-2011,2010-12-27,Houston Rockets,100,93,Washington Wizards,0OT
2010-2011,2010-12-27,Utah Jazz,91,96,Portland Trail Blazers,0OT
2010-2011,2010-12-27,Sacramento Kings,99,100,Los Angeles Clippers,0OT
2010-2011,2010-12-27,Golden State Warriors,110,95,Philadelphia 76ers,0OT
2010-2011,2010-12-28,Cleveland Cavaliers,95,110,Orlando Magic,0OT
2010-2011,2010-12-28,Indiana Pacers,83,95,Boston Celtics,0OT
2010-2011,2010-12-28,Miami Heat,106,98,New York Knicks,0OT
2010-2011,2010-12-28,Chicago Bulls,90,77,Milwaukee Bucks,0OT
2010-2011,2010-12-28,Dallas Mavericks,76,84,Toronto Raptors,0OT
2010-2011,2010-12-28,San Antonio Spurs,97,82,Los Angeles Lakers,0OT
2010-2011,2010-12-28,Denver Nuggets,95,77,Portland Trail Blazers,0OT
2010-2011,2010-12-29,Atlanta Hawks,103,93,Golden State Warriors,0OT
2010-2011,2010-12-29,Charlotte Hornets,101,92,Cleveland Cavaliers,0OT
2010-2011,2010-12-29,Washington Wizards,104,90,Indiana Pacers,0OT
2010-2011,2010-12-29,Detroit Pistons,104,92,Boston Celtics,0OT
2010-2011,2010-12-29,Minnesota Timberwolves,113,119,Denver Nuggets,0OT
2010-2011,2010-12-29,New Orleans Pelicans,88,103,Los Angeles Lakers,0OT
2010-2011,2010-12-29,Oklahoma City Thunder,114,93,Brooklyn Nets,0OT
2010-2011,2010-12-29,Houston Rockets,119,125,Miami Heat,0OT
2010-2011,2010-12-29,Phoenix Suns,110,123,Philadelphia 76ers,0OT
2010-2011,2010-12-29,Sacramento Kings,100,98,Memphis Grizzlies,0OT
2010-2011,2010-12-29,Los Angeles Clippers,95,103,Utah Jazz,0OT
2010-2011,2010-12-30,Orlando Magic,112,103,New York Knicks,0OT
2010-2011,2010-12-30,Dallas Mavericks,93,99,San Antonio Spurs,0OT
2010-2011,2010-12-30,Portland Trail Blazers,100,89,Utah Jazz,0OT
2010-2011,2010-12-31,Boston Celtics,81,83,New Orleans Pelicans,0OT
2010-2011,2010-12-31,Charlotte Hornets,95,96,Golden State Warriors,0OT
2010-2011,2010-12-31,Chicago Bulls,90,81,Brooklyn Nets,0OT
2010-2011,2010-12-31,Indiana Pacers,95,86,Washington Wizards,0OT
2010-2011,2010-12-31,Houston Rockets,114,105,Toronto Raptors,0OT
2010-2011,2010-12-31,Oklahoma City Thunder,103,94,Atlanta Hawks,0OT
2010-2011,2010-12-31,Phoenix Suns,92,75,Detroit Pistons,0OT
2010-2011,2010-12-31,Los Angeles Lakers,102,98,Philadelphia 76ers,0OT
2010-2011,2011-01-01,Chicago Bulls,100,91,Cleveland Cavaliers,0OT
2010-2011,2011-01-01,Washington Wizards,81,92,New Orleans Pelicans,0OT
2010-2011,2011-01-01,Miami Heat,114,107,Golden State Warriors,0OT
2010-2011,2011-01-01,Minnesota Timberwolves,103,88,Brooklyn Nets,0OT
2010-2011,2011-01-01,San Antonio Spurs,101,74,Oklahoma City Thunder,0OT
2010-2011,2011-01-01,Denver Nuggets,104,86,Sacramento Kings,0OT
2010-2011,2011-01-01,Milwaukee Bucks,99,87,Dallas Mavericks,0OT
2010-2011,2011-01-01,Utah Jazz,98,92,Memphis Grizzlies,0OT
2010-2011,2011-01-02,New York Knicks,98,92,Indiana Pacers,0OT
2010-2011,2011-01-02,Los Angeles Clippers,98,107,Atlanta Hawks,0OT
2010-2011,2011-01-02,Toronto Raptors,79,93,Boston Celtics,0OT
2010-2011,2011-01-02,Cleveland Cavaliers,95,104,Dallas Mavericks,0OT
2010-2011,2011-01-02,Portland Trail Blazers,100,85,Houston Rockets,0OT
2010-2011,2011-01-02,Sacramento Kings,94,89,Phoenix Suns,0OT
2010-2011,2011-01-02,Los Angeles Lakers,85,104,Memphis Grizzlies,0OT
2010-2011,2011-01-03,Charlotte Hornets,82,96,Miami Heat,0OT
2010-2011,2011-01-03,Orlando Magic,110,90,Golden State Warriors,0OT
2010-2011,2011-01-03,Boston Celtics,96,93,Minnesota Timberwolves,0OT
2010-2011,2011-01-03,New Orleans Pelicans,84,77,Philadelphia 76ers,0OT
2010-2011,2011-01-03,Denver Nuggets,113,106,Houston Rockets,0OT
2010-2011,2011-01-03,Utah Jazz,102,97,Detroit Pistons,0OT
2010-2011,2011-01-04,Miami Heat,101,89,Milwaukee Bucks,0OT
2010-2011,2011-01-04,New York Knicks,128,115,San Antonio Spurs,0OT
2010-2011,2011-01-04,Chicago Bulls,111,91,Toronto Raptors,0OT
2010-2011,2011-01-04,Memphis Grizzlies,110,105,Oklahoma City Thunder,0OT
2010-2011,2011-01-04,Dallas Mavericks,84,81,Portland Trail Blazers,0OT
2010-2011,2011-01-04,Sacramento Kings,102,108,Atlanta Hawks,0OT
2010-2011,2011-01-04,Los Angeles Lakers,108,83,Detroit Pistons,0OT
2010-2011,2011-01-05,Cleveland Cavaliers,105,120,Toronto Raptors,0OT
2010-2011,2011-01-05,Brooklyn Nets,96,94,Chicago Bulls,0OT
2010-2011,2011-01-05,Orlando Magic,97,87,Milwaukee Bucks,0OT
2010-2011,2011-01-05,Philadelphia 76ers,109,97,Washington Wizards,0OT
2010-2011,2011-01-05,Boston Celtics,105,103,San Antonio Spurs,0OT
2010-2011,2011-01-05,Minnesota Timberwolves,105,108,Charlotte Hornets,1OT
2010-2011,2011-01-05,New Orleans Pelicans,103,110,Golden State Warriors,0OT
2010-2011,2011-01-05,Houston Rockets,100,103,Portland Trail Blazers,0OT
2010-2011,2011-01-05,Utah Jazz,87,110,Atlanta Hawks,0OT
2010-2011,2011-01-05,Los Angeles Clippers,106,93,Denver Nuggets,0OT
2010-2011,2011-01-05,Phoenix Suns,95,99,Los Angeles Lakers,0OT
2010-2011,2011-01-06,Dallas Mavericks,95,99,Oklahoma City Thunder,0OT
2010-2011,2011-01-06,Sacramento Kings,122,102,Denver Nuggets,0OT
2010-2011,2011-01-07,Indiana Pacers,87,90,San Antonio Spurs,0OT
2010-2011,2011-01-07,Philadelphia 76ers,105,99,Chicago Bulls,0OT
2010-2011,2011-01-07,Washington Wizards,97,77,Brooklyn Nets,0OT
2010-2011,2011-01-07,Boston Celtics,122,102,Toronto Raptors,0OT
2010-2011,2011-01-07,Memphis Grizzlies,110,99,Utah Jazz,0OT
2010-2011,2011-01-07,Minnesota Timberwolves,98,108,Portland Trail Blazers,0OT
2010-2011,2011-01-07,Orlando Magic,110,95,Houston Rockets,0OT
2010-2011,2011-01-07,Milwaukee Bucks,95,101,Miami Heat,1OT
2010-2011,2011-01-07,Golden State Warriors,116,98,Cleveland Cavaliers,0OT
2010-2011,2011-01-07,Los Angeles Lakers,101,97,New Orleans Pelicans,0OT
2010-2011,2011-01-07,Phoenix Suns,96,121,New York Knicks,0OT
2010-2011,2011-01-08,Atlanta Hawks,108,93,Indiana Pacers,0OT
2010-2011,2011-01-08,Charlotte Hornets,104,89,Washington Wizards,0OT
2010-2011,2011-01-08,Brooklyn Nets,92,115,Milwaukee Bucks,0OT
2010-2011,2011-01-08,Detroit Pistons,112,109,Philadelphia 76ers,1OT
2010-2011,2011-01-08,Chicago Bulls,90,79,Boston Celtics,0OT
2010-2011,2011-01-08,Oklahoma City Thunder,109,100,Memphis Grizzlies,0OT
2010-2011,2011-01-08,Dallas Mavericks,107,117,Orlando Magic,0OT
2010-2011,2011-01-08,Houston Rockets,99,103,Utah Jazz,1OT
2010-2011,2011-01-09,Toronto Raptors,118,112,Sacramento Kings,0OT
2010-2011,2011-01-09,Los Angeles Clippers,105,91,Golden State Warriors,0OT
2010-2011,2011-01-09,San Antonio Spurs,94,91,Minnesota Timberwolves,0OT
2010-2011,2011-01-09,Phoenix Suns,108,100,Cleveland Cavaliers,0OT
2010-2011,2011-01-09,Denver Nuggets,87,96,New Orleans Pelicans,0OT
2010-2011,2011-01-09,Portland Trail Blazers,100,107,Miami Heat,1OT
2010-2011,2011-01-09,Los Angeles Lakers,109,87,New York Knicks,0OT
2010-2011,2011-01-10,Charlotte Hornets,96,82,Memphis Grizzlies,0OT
2010-2011,2011-01-10,Boston Celtics,102,108,Houston Rockets,0OT
2010-2011,2011-01-10,Chicago Bulls,95,82,Detroit Pistons,0OT
2010-2011,2011-01-11,Philadelphia 76ers,103,111,Indiana Pacers,0OT
2010-2011,2011-01-11,Washington Wizards,136,133,Sacramento Kings,1OT
2010-2011,2011-01-11,Minnesota Timberwolves,96,107,San Antonio Spurs,0OT
2010-2011,2011-01-11,Denver Nuggets,132,98,Phoenix Suns,0OT
2010-2011,2011-01-11,Portland Trail Blazers,86,100,New York Knicks,0OT
2010-2011,2011-01-11,Los Angeles Lakers,112,57,Cleveland Cavaliers,0OT
2010-2011,2011-01-12,Charlotte Hornets,96,91,Chicago Bulls,0OT
2010-2011,2011-01-12,Indiana Pacers,102,89,Dallas Mavericks,0OT
2010-2011,2011-01-12,Toronto Raptors,101,104,Atlanta Hawks,0OT
2010-2011,2011-01-12,Boston Celtics,119,95,Sacramento Kings,0OT
2010-2011,2011-01-12,Detroit Pistons,99,107,Memphis Grizzlies,0OT
2010-2011,2011-01-12,Milwaukee Bucks,84,91,San Antonio Spurs,0OT
2010-2011,2011-01-12,New Orleans Pelicans,92,89,Orlando Magic,1OT
2010-2011,2011-01-12,Houston Rockets,112,118,Oklahoma City Thunder,0OT
2010-2011,2011-01-12,Phoenix Suns,118,109,Brooklyn Nets,1OT
2010-2011,2011-01-12,Utah Jazz,131,125,New York Knicks,0OT
2010-2011,2011-01-12,Golden State Warriors,110,115,Los Angeles Lakers,0OT
2010-2011,2011-01-12,Los Angeles Clippers,111,105,Miami Heat,0OT
2010-2011,2011-01-13,Minnesota Timberwolves,109,97,Washington Wizards,0OT
2010-2011,2011-01-13,Oklahoma City Thunder,125,124,Orlando Magic,0OT
2010-2011,2011-01-13,Denver Nuggets,130,102,Miami Heat,0OT
2010-2011,2011-01-14,Indiana Pacers,86,99,Chicago Bulls,0OT
2010-2011,2011-01-14,Philadelphia 76ers,95,94,Milwaukee Bucks,0OT
2010-2011,2011-01-14,Toronto Raptors,95,101,Detroit Pistons,0OT
2010-2011,2011-01-14,Boston Celtics,99,94,Charlotte Hornets,0OT
2010-2011,2011-01-14,New York Knicks,83,93,Sacramento Kings,0OT
2010-2011,2011-01-14,San Antonio Spurs,101,89,Dallas Mavericks,0OT
2010-2011,2011-01-14,Houston Rockets,105,110,New Orleans Pelicans,1OT
2010-2011,2011-01-14,Utah Jazz,121,99,Cleveland Cavaliers,0OT
2010-2011,2011-01-14,Golden State Warriors,122,112,Los Angeles Clippers,0OT
2010-2011,2011-01-14,Los Angeles Lakers,100,88,Brooklyn Nets,0OT
2010-2011,2011-01-14,Phoenix Suns,115,111,Portland Trail Blazers,0OT
2010-2011,2011-01-15,Atlanta Hawks,106,112,Houston Rockets,0OT
2010-2011,2011-01-15,Charlotte Hornets,81,88,New Orleans Pelicans,0OT
2010-2011,2011-01-15,Washington Wizards,98,95,Toronto Raptors,0OT
2010-2011,2011-01-15,Detroit Pistons,110,106,Sacramento Kings,0OT
2010-2011,2011-01-15,Chicago Bulls,99,96,Miami Heat,0OT
2010-2011,2011-01-15,Memphis Grizzlies,89,70,Dallas Mavericks,0OT
2010-2011,2011-01-15,Minnesota Timberwolves,99,108,Orlando Magic,0OT
2010-2011,2011-01-15,Denver Nuggets,127,99,Cleveland Cavaliers,0OT
2010-2011,2011-01-15,Portland Trail Blazers,96,89,Brooklyn Nets,0OT
2010-2011,2011-01-16,Los Angeles Clippers,99,92,Los Angeles Lakers,0OT
2010-2011,2011-01-16,San Antonio Spurs,110,97,Denver Nuggets,0OT
2010-2011,2011-01-17,Memphis Grizzlies,84,96,Chicago Bulls,0OT
2010-2011,2011-01-17,New York Knicks,121,129,Phoenix Suns,0OT
2010-2011,2011-01-17,Washington Wizards,108,101,Utah Jazz,0OT
2010-2011,2011-01-17,Philadelphia 76ers,96,92,Charlotte Hornets,1OT
2010-2011,2011-01-17,Houston Rockets,93,84,Milwaukee Bucks,0OT
2010-2011,2011-01-17,New Orleans Pelicans,85,81,Toronto Raptors,0OT
2010-2011,2011-01-17,Detroit Pistons,103,89,Dallas Mavericks,0OT
2010-2011,2011-01-17,Los Angeles Clippers,114,107,Indiana Pacers,0OT
2010-2011,2011-01-17,Atlanta Hawks,100,98,Sacramento Kings,0OT
2010-2011,2011-01-17,Golden State Warriors,109,100,Brooklyn Nets,0OT
2010-2011,2011-01-17,Boston Celtics,109,106,Orlando Magic,0OT
2010-2011,2011-01-17,Portland Trail Blazers,113,102,Minnesota Timberwolves,0OT
2010-2011,2011-01-17,Los Angeles Lakers,101,94,Oklahoma City Thunder,0OT
2010-2011,2011-01-18,Miami Heat,89,93,Atlanta Hawks,1OT
2010-2011,2011-01-18,Chicago Bulls,82,83,Charlotte Hornets,0OT
2010-2011,2011-01-19,Cleveland Cavaliers,98,106,Phoenix Suns,0OT
2010-2011,2011-01-19,Brooklyn Nets,103,95,Utah Jazz,0OT
2010-2011,2011-01-19,Orlando Magic,99,98,Philadelphia 76ers,1OT
2010-2011,2011-01-19,Boston Celtics,86,82,Detroit Pistons,0OT
2010-2011,2011-01-19,Milwaukee Bucks,100,87,Washington Wizards,0OT
2010-2011,2011-01-19,New Orleans Pelicans,103,102,Memphis Grizzlies,1OT
2010-2011,2011-01-19,Houston Rockets,104,89,New York Knicks,0OT
2010-2011,2011-01-19,San Antonio Spurs,104,95,Toronto Raptors,0OT
2010-2011,2011-01-19,Dallas Mavericks,109,100,Los Angeles Lakers,0OT
2010-2011,2011-01-19,Denver Nuggets,112,107,Oklahoma City Thunder,0OT
2010-2011,2011-01-19,Sacramento Kings,90,94,Portland Trail Blazers,1OT
2010-2011,2011-01-19,Golden State Warriors,110,108,Indiana Pacers,0OT
2010-2011,2011-01-19,Los Angeles Clippers,126,111,Minnesota Timberwolves,0OT
2010-2011,2011-01-20,Charlotte Hornets,100,97,Philadelphia 76ers,0OT
2010-2011,2011-01-20,Chicago Bulls,82,77,Dallas Mavericks,0OT
2010-2011,2011-01-20,Portland Trail Blazers,108,93,Los Angeles Clippers,0OT
2010-2011,2011-01-21,Brooklyn Nets,89,74,Detroit Pistons,0OT
2010-2011,2011-01-21,Orlando Magic,112,72,Toronto Raptors,0OT
2010-2011,2011-01-21,Washington Wizards,91,109,Phoenix Suns,0OT
2010-2011,2011-01-21,Atlanta Hawks,59,100,New Orleans Pelicans,0OT
2010-2011,2011-01-21,Boston Celtics,110,86,Utah Jazz,0OT
2010-2011,2011-01-21,Cleveland Cavaliers,88,102,Milwaukee Bucks,0OT
2010-2011,2011-01-21,Memphis Grizzlies,115,110,Houston Rockets,0OT
2010-2011,2011-01-21,San Antonio Spurs,101,92,New York Knicks,0OT
2010-2011,2011-01-21,Denver Nuggets,97,107,Los Angeles Lakers,0OT
2010-2011,2011-01-21,Golden State Warriors,119,112,Sacramento Kings,1OT
2010-2011,2011-01-22,Charlotte Hornets,87,103,Atlanta Hawks,0OT
2010-2011,2011-01-22,Brooklyn Nets,86,87,Dallas Mavericks,0OT
2010-2011,2011-01-22,Washington Wizards,85,83,Boston Celtics,0OT
2010-2011,2011-01-22,Detroit Pistons,75,74,Phoenix Suns,0OT
2010-2011,2011-01-22,Miami Heat,120,103,Toronto Raptors,0OT
2010-2011,2011-01-22,Philadelphia 76ers,96,85,Utah Jazz,0OT
2010-2011,2011-01-22,Chicago Bulls,92,79,Cleveland Cavaliers,0OT
2010-2011,2011-01-22,New Orleans Pelicans,96,72,San Antonio Spurs,0OT
2010-2011,2011-01-22,Oklahoma City Thunder,101,98,New York Knicks,0OT
2010-2011,2011-01-22,Houston Rockets,104,118,Orlando Magic,0OT
2010-2011,2011-01-22,Milwaukee Bucks,81,94,Memphis Grizzlies,0OT
2010-2011,2011-01-22,Portland Trail Blazers,97,92,Indiana Pacers,0OT
2010-2011,2011-01-22,Los Angeles Clippers,113,109,Golden State Warriors,0OT
2010-2011,2011-01-23,Denver Nuggets,121,107,Indiana Pacers,0OT
2010-2011,2011-01-24,Brooklyn Nets,103,101,Cleveland Cavaliers,0OT
2010-2011,2011-01-24,Orlando Magic,96,103,Detroit Pistons,0OT
2010-2011,2011-01-24,Philadelphia 76ers,105,95,Phoenix Suns,0OT
2010-2011,2011-01-24,Toronto Raptors,98,100,Memphis Grizzlies,0OT
2010-2011,2011-01-24,New York Knicks,115,106,Washington Wizards,0OT
2010-2011,2011-01-24,Chicago Bulls,92,83,Milwaukee Bucks,0OT
2010-2011,2011-01-24,Minnesota Timberwolves,125,129,Houston Rockets,0OT
2010-2011,2011-01-24,New Orleans Pelicans,91,89,Oklahoma City Thunder,0OT
2010-2011,2011-01-24,Portland Trail Blazers,81,96,Sacramento Kings,0OT
2010-2011,2011-01-24,Golden State Warriors,102,113,San Antonio Spurs,0OT
2010-2011,2011-01-25,Washington Wizards,109,120,Denver Nuggets,0OT
2010-2011,2011-01-25,Boston Celtics,112,95,Cleveland Cavaliers,0OT
2010-2011,2011-01-25,Dallas Mavericks,112,105,Los Angeles Clippers,0OT
2010-2011,2011-01-25,Sacramento Kings,89,94,Charlotte Hornets,0OT
2010-2011,2011-01-25,Los Angeles Lakers,120,91,Utah Jazz,0OT
2010-2011,2011-01-26,Indiana Pacers,96,111,Orlando Magic,0OT
2010-2011,2011-01-26,Brooklyn Nets,93,88,Memphis Grizzlies,0OT
2010-2011,2011-01-26,Toronto Raptors,94,107,Philadelphia 76ers,0OT
2010-2011,2011-01-26,Detroit Pistons,100,109,Denver Nuggets,0OT
2010-2011,2011-01-26,Milwaukee Bucks,98,90,Atlanta Hawks,0OT
2010-2011,2011-01-26,Minnesota Timberwolves,117,118,Oklahoma City Thunder,1OT
2010-2011,2011-01-26,Houston Rockets,96,83,Los Angeles Clippers,0OT
2010-2011,2011-01-26,Phoenix Suns,107,114,Charlotte Hornets,0OT
2010-2011,2011-01-26,Utah Jazz,105,112,San Antonio Spurs,0OT
2010-2011,2011-01-26,Golden State Warriors,103,112,New Orleans Pelicans,0OT
2010-2011,2011-01-27,New York Knicks,93,88,Miami Heat,0OT
2010-2011,2011-01-27,Dallas Mavericks,111,106,Houston Rockets,0OT
2010-2011,2011-01-27,Portland Trail Blazers,78,88,Boston Celtics,0OT
2010-2011,2011-01-28,Indiana Pacers,124,92,Brooklyn Nets,0OT
2010-2011,2011-01-28,Philadelphia 76ers,94,99,Memphis Grizzlies,0OT
2010-2011,2011-01-28,Toronto Raptors,110,116,Milwaukee Bucks,1OT
2010-2011,2011-01-28,Atlanta Hawks,111,102,New York Knicks,0OT
2010-2011,2011-01-28,Cleveland Cavaliers,103,117,Denver Nuggets,0OT
2010-2011,2011-01-28,Miami Heat,88,87,Detroit Pistons,0OT
2010-2011,2011-01-28,Chicago Bulls,99,90,Orlando Magic,0OT
2010-2011,2011-01-28,Oklahoma City Thunder,124,117,Washington Wizards,2OT
2010-2011,2011-01-28,Utah Jazz,108,100,Minnesota Timberwolves,0OT
2010-2011,2011-01-28,Golden State Warriors,113,121,Charlotte Hornets,1OT
2010-2011,2011-01-28,Los Angeles Lakers,95,100,Sacramento Kings,0OT
2010-2011,2011-01-28,Phoenix Suns,88,71,Boston Celtics,0OT
2010-2011,2011-01-29,Chicago Bulls,110,89,Indiana Pacers,0OT
2010-2011,2011-01-29,Memphis Grizzlies,107,93,Washington Wizards,0OT
2010-2011,2011-01-29,Minnesota Timberwolves,103,87,Toronto Raptors,0OT
2010-2011,2011-01-29,Dallas Mavericks,102,91,Atlanta Hawks,0OT
2010-2011,2011-01-29,Milwaukee Bucks,91,81,Brooklyn Nets,0OT
2010-2011,2011-01-29,San Antonio Spurs,108,95,Houston Rockets,0OT
2010-2011,2011-01-29,Sacramento Kings,102,96,New Orleans Pelicans,0OT
2010-2011,2011-01-29,Los Angeles Clippers,103,88,Charlotte Hornets,0OT
2010-2011,2011-01-30,Oklahoma City Thunder,103,108,Miami Heat,0OT
2010-2011,2011-01-30,Los Angeles Lakers,96,109,Boston Celtics,0OT
2010-2011,2011-01-30,Orlando Magic,103,87,Cleveland Cavaliers,0OT
2010-2011,2011-01-30,Philadelphia 76ers,110,99,Denver Nuggets,0OT
2010-2011,2011-01-30,New York Knicks,124,106,Detroit Pistons,0OT
2010-2011,2011-01-30,Phoenix Suns,104,102,New Orleans Pelicans,0OT
2010-2011,2011-01-30,Golden State Warriors,96,81,Utah Jazz,0OT
2010-2011,2011-01-31,Indiana Pacers,104,93,Toronto Raptors,0OT
2010-2011,2011-01-31,Brooklyn Nets,115,99,Denver Nuggets,0OT
2010-2011,2011-01-31,Miami Heat,117,90,Cleveland Cavaliers,0OT
2010-2011,2011-01-31,Memphis Grizzlies,100,97,Orlando Magic,0OT
2010-2011,2011-01-31,Dallas Mavericks,102,92,Washington Wizards,0OT
2010-2011,2011-01-31,Utah Jazz,83,78,Charlotte Hornets,0OT
2010-2011,2011-01-31,Los Angeles Clippers,105,98,Milwaukee Bucks,0OT
2010-2011,2011-02-01,New Orleans Pelicans,97,89,Washington Wizards,0OT
2010-2011,2011-02-01,Portland Trail Blazers,99,86,San Antonio Spurs,0OT
2010-2011,2011-02-01,Sacramento Kings,90,95,Boston Celtics,0OT
2010-2011,2011-02-01,Los Angeles Lakers,114,106,Houston Rockets,1OT
2010-2011,2011-02-02,Atlanta Hawks,100,87,Toronto Raptors,0OT
2010-2011,2011-02-02,Cleveland Cavaliers,112,117,Indiana Pacers,0OT
2010-2011,2011-02-02,Brooklyn Nets,92,106,Philadelphia 76ers,0OT
2010-2011,2011-02-02,Detroit Pistons,87,97,Charlotte Hornets,0OT
2010-2011,2011-02-02,New York Knicks,97,113,Dallas Mavericks,0OT
2010-2011,2011-02-02,Minnesota Timberwolves,84,102,Memphis Grizzlies,0OT
2010-2011,2011-02-02,Oklahoma City Thunder,104,93,New Orleans Pelicans,0OT
2010-2011,2011-02-02,Denver Nuggets,109,90,Portland Trail Blazers,0OT
2010-2011,2011-02-02,Phoenix Suns,92,77,Milwaukee Bucks,0OT
2010-2011,2011-02-02,Utah Jazz,96,97,Houston Rockets,0OT
2010-2011,2011-02-02,Los Angeles Clippers,88,106,Chicago Bulls,0OT
2010-2011,2011-02-03,Orlando Magic,100,104,Miami Heat,0OT
2010-2011,2011-02-03,Golden State Warriors,100,94,Milwaukee Bucks,0OT
2010-2011,2011-02-03,Los Angeles Lakers,88,89,San Antonio Spurs,0OT
2010-2011,2011-02-04,Charlotte Hornets,97,109,Miami Heat,0OT
2010-2011,2011-02-04,Indiana Pacers,100,87,Portland Trail Blazers,0OT
2010-2011,2011-02-04,Philadelphia 76ers,100,98,New York Knicks,0OT
2010-2011,2011-02-04,Toronto Raptors,111,100,Minnesota Timberwolves,0OT
2010-2011,2011-02-04,Washington Wizards,92,110,Orlando Magic,0OT
2010-2011,2011-02-04,Atlanta Hawks,101,100,Los Angeles Clippers,0OT
