Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,home_win_percentage,away_win_percentage
2019-2020,2019-12-26,Brooklyn Nets,82,94,New York Knicks,0.5517241379310345,0.22580645161290322
2019-2020,2019-12-26,Dallas Mavericks,102,98,San Antonio Spurs,0.6551724137931034,0.41379310344827586
2019-2020,2019-12-26,Oklahoma City Thunder,97,110,Memphis Grizzlies,0.5172413793103449,0.3548387096774194
2019-2020,2019-12-26,Sacramento Kings,104,105,Minnesota Timberwolves,0.4,0.3448275862068966
2019-2020,2019-12-26,Utah Jazz,121,115,Portland Trail Blazers,0.6,0.45161290322580644
2019-2020,2019-12-27,Boston Celtics,129,117,Cleveland Cavaliers,0.75,0.3
2019-2020,2019-12-27,Charlotte Hornets,102,104,Oklahoma City Thunder,0.3939393939393939,0.5
2019-2020,2019-12-27,Orlando Magic,98,97,Philadelphia 76ers,0.43333333333333335,0.696969696969697
2019-2020,2019-12-27,Atlanta Hawks,86,112,Milwaukee Bucks,0.1935483870967742,0.84375
2019-2020,2019-12-27,Miami Heat,113,112,Indiana Pacers,0.7333333333333333,0.6774193548387096
2019-2020,2019-12-27,Golden State Warriors,105,96,Phoenix Suns,0.25,0.36666666666666664
2019-2020,2019-12-28,Denver Nuggets,119,110,Memphis Grizzlies,0.7,0.375
2019-2020,2019-12-28,Boston Celtics,97,113,Toronto Raptors,0.7586206896551724,0.6774193548387096
2019-2020,2019-12-28,New Orleans Pelicans,120,98,Indiana Pacers,0.28125,0.65625
2019-2020,2019-12-28,Chicago Bulls,116,81,Atlanta Hawks,0.375,0.1875
2019-2020,2019-12-28,Houston Rockets,108,98,Brooklyn Nets,0.6774193548387096,0.5333333333333333
2019-2020,2019-12-28,Miami Heat,117,116,Philadelphia 76ers,0.7419354838709677,0.6764705882352942
2019-2020,2019-12-28,Minnesota Timberwolves,88,94,Cleveland Cavaliers,0.36666666666666664,0.2903225806451613
2019-2020,2019-12-28,Washington Wizards,100,107,New York Knicks,0.3,0.25
2019-2020,2019-12-28,Golden State Warriors,121,141,Dallas Mavericks,0.2727272727272727,0.6666666666666666
2019-2020,2019-12-28,Milwaukee Bucks,111,100,Orlando Magic,0.8484848484848485,0.45161290322580644
2019-2020,2019-12-28,San Antonio Spurs,136,109,Detroit Pistons,0.4,0.375
2019-2020,2019-12-28,Sacramento Kings,110,112,Phoenix Suns,0.3870967741935484,0.3548387096774194
2019-2020,2019-12-28,Portland Trail Blazers,120,128,Los Angeles Lakers,0.4375,0.7741935483870968
2019-2020,2019-12-28,Los Angeles Clippers,107,120,Utah Jazz,0.696969696969697,0.6129032258064516
2019-2020,2019-12-29,Toronto Raptors,97,98,Oklahoma City Thunder,0.6875,0.5161290322580645
2019-2020,2019-12-29,Denver Nuggets,120,115,Sacramento Kings,0.7096774193548387,0.375
2019-2020,2019-12-29,Memphis Grizzlies,117,104,Charlotte Hornets,0.36363636363636365,0.38235294117647056
2019-2020,2019-12-29,New Orleans Pelicans,127,112,Houston Rockets,0.30303030303030304,0.6875
2019-2020,2019-12-29,Los Angeles Lakers,108,95,Dallas Mavericks,0.78125,0.6774193548387096
2019-2020,2019-12-30,Orlando Magic,93,101,Atlanta Hawks,0.4375,0.18181818181818182
2019-2020,2019-12-30,Washington Wizards,123,105,Miami Heat,0.2903225806451613,0.75
2019-2020,2019-12-30,Chicago Bulls,102,123,Milwaukee Bucks,0.3939393939393939,0.8529411764705882
2019-2020,2019-12-30,Minnesota Timberwolves,122,115,Brooklyn Nets,0.3548387096774194,0.5161290322580645
2019-2020,2019-12-30,Utah Jazz,104,81,Detroit Pistons,0.625,0.36363636363636365
2019-2020,2019-12-30,Portland Trail Blazers,116,122,Phoenix Suns,0.42424242424242425,0.375
2019-2020,2019-12-31,Charlotte Hornets,92,109,Boston Celtics,0.37142857142857144,0.7333333333333333
2019-2020,2019-12-31,Indiana Pacers,115,97,Philadelphia 76ers,0.6363636363636364,0.6571428571428571
2019-2020,2019-12-31,Sacramento Kings,87,105,Los Angeles Clippers,0.36363636363636365,0.6764705882352942
2019-2020,2019-12-31,Houston Rockets,130,104,Denver Nuggets,0.6666666666666666,0.71875
2019-2020,2019-12-31,San Antonio Spurs,117,113,Golden State Warriors,0.41935483870967744,0.2647058823529412
2019-2020,2019-12-31,Toronto Raptors,117,97,Cleveland Cavaliers,0.6666666666666666,0.3125
2019-2020,2019-12-31,Oklahoma City Thunder,106,101,Dallas Mavericks,0.53125,0.65625
2019-2020,2020-01-01,Washington Wizards,101,122,Orlando Magic,0.3125,0.42424242424242425
2019-2020,2020-01-01,New York Knicks,117,93,Portland Trail Blazers,0.2727272727272727,0.4117647058823529
2019-2020,2020-01-01,Milwaukee Bucks,106,104,Minnesota Timberwolves,0.8571428571428571,0.375
2019-2020,2020-01-01,Los Angeles Lakers,117,107,Phoenix Suns,0.7878787878787878,0.3939393939393939
2019-2020,2020-01-02,Cleveland Cavaliers,106,109,Charlotte Hornets,0.30303030303030304,0.3611111111111111
2019-2020,2020-01-02,Indiana Pacers,116,124,Denver Nuggets,0.6470588235294118,0.696969696969697
2019-2020,2020-01-02,Miami Heat,84,76,Toronto Raptors,0.7272727272727273,0.6764705882352942
2019-2020,2020-01-02,Chicago Bulls,98,102,Utah Jazz,0.38235294117647056,0.6363636363636364
2019-2020,2020-01-02,Minnesota Timberwolves,99,84,Golden State Warriors,0.36363636363636365,0.2571428571428571
2019-2020,2020-01-02,Dallas Mavericks,123,111,Brooklyn Nets,0.6363636363636364,0.5
2019-2020,2020-01-02,San Antonio Spurs,103,109,Oklahoma City Thunder,0.4375,0.5454545454545454
2019-2020,2020-01-02,Sacramento Kings,128,123,Memphis Grizzlies,0.35294117647058826,0.38235294117647056
2019-2020,2020-01-02,Los Angeles Clippers,126,112,Detroit Pistons,0.6857142857142857,0.35294117647058826
2019-2020,2020-01-03,Boston Celtics,109,106,Atlanta Hawks,0.7419354838709677,0.20588235294117646
2019-2020,2020-01-03,Orlando Magic,105,85,Miami Heat,0.4411764705882353,0.7352941176470589
2019-2020,2020-01-03,Washington Wizards,103,122,Portland Trail Blazers,0.30303030303030304,0.4
2019-2020,2020-01-03,Houston Rockets,118,108,Philadelphia 76ers,0.6764705882352942,0.6388888888888888
2019-2020,2020-01-03,Phoenix Suns,120,112,New York Knicks,0.38235294117647056,0.29411764705882354
2019-2020,2020-01-03,Los Angeles Lakers,123,113,New Orleans Pelicans,0.7941176470588235,0.3235294117647059
2019-2020,2020-01-04,Los Angeles Clippers,114,140,Memphis Grizzlies,0.6944444444444444,0.37142857142857144
2019-2020,2020-01-04,Brooklyn Nets,102,121,Toronto Raptors,0.48484848484848486,0.6571428571428571
2019-2020,2020-01-04,Orlando Magic,96,109,Utah Jazz,0.45714285714285713,0.6470588235294118
2019-2020,2020-01-04,Atlanta Hawks,116,111,Indiana Pacers,0.2,0.6285714285714286
2019-2020,2020-01-04,Cleveland Cavaliers,106,121,Oklahoma City Thunder,0.29411764705882354,0.5588235294117647
2019-2020,2020-01-04,Chicago Bulls,104,111,Boston Celtics,0.37142857142857144,0.75
2019-2020,2020-01-04,Washington Wizards,128,114,Denver Nuggets,0.29411764705882354,0.7058823529411765
2019-2020,2020-01-04,Dallas Mavericks,120,123,Charlotte Hornets,0.6470588235294118,0.3783783783783784
2019-2020,2020-01-04,Golden State Warriors,104,111,Detroit Pistons,0.25,0.34285714285714286
2019-2020,2020-01-04,Milwaukee Bucks,127,118,San Antonio Spurs,0.8611111111111112,0.42424242424242425
2019-2020,2020-01-04,Sacramento Kings,115,117,New Orleans Pelicans,0.37142857142857144,0.3142857142857143
2019-2020,2020-01-05,Los Angeles Clippers,135,132,New York Knicks,0.6756756756756757,0.2857142857142857
2019-2020,2020-01-05,Miami Heat,122,111,Portland Trail Blazers,0.7142857142857143,0.4166666666666667
2019-2020,2020-01-05,Cleveland Cavaliers,103,118,Minnesota Timberwolves,0.2857142857142857,0.38235294117647056
2019-2020,2020-01-05,Phoenix Suns,114,121,Memphis Grizzlies,0.4,0.3888888888888889
2019-2020,2020-01-05,Los Angeles Lakers,106,99,Detroit Pistons,0.8,0.3611111111111111
2019-2020,2020-01-06,Charlotte Hornets,104,115,Indiana Pacers,0.39473684210526316,0.6111111111111112
2019-2020,2020-01-06,Orlando Magic,101,89,Brooklyn Nets,0.4444444444444444,0.47058823529411764
2019-2020,2020-01-06,Philadelphia 76ers,120,113,Oklahoma City Thunder,0.6216216216216216,0.5714285714285714
2019-2020,2020-01-06,Washington Wizards,99,94,Boston Celtics,0.3142857142857143,0.7575757575757576
2019-2020,2020-01-06,Atlanta Hawks,115,123,Denver Nuggets,0.2222222222222222,0.6857142857142857
2019-2020,2020-01-06,New Orleans Pelicans,126,128,Utah Jazz,0.3333333333333333,0.6571428571428571
2019-2020,2020-01-06,Dallas Mavericks,118,110,Chicago Bulls,0.6285714285714286,0.3611111111111111
2019-2020,2020-01-06,San Antonio Spurs,126,104,Milwaukee Bucks,0.4117647058823529,0.8648648648648649
2019-2020,2020-01-06,Sacramento Kings,111,98,Golden State Warriors,0.3611111111111111,0.24324324324324326
2019-2020,2020-01-07,Cleveland Cavaliers,113,115,Detroit Pistons,0.2777777777777778,0.35135135135135137
2019-2020,2020-01-07,Toronto Raptors,99,101,Portland Trail Blazers,0.6666666666666666,0.40540540540540543
2019-2020,2020-01-07,Brooklyn Nets,103,111,Oklahoma City Thunder,0.45714285714285713,0.5555555555555556
2019-2020,2020-01-07,Memphis Grizzlies,119,112,Minnesota Timberwolves,0.40540540540540543,0.4
2019-2020,2020-01-07,Phoenix Suns,103,114,Sacramento Kings,0.3888888888888889,0.3783783783783784
2019-2020,2020-01-07,Los Angeles Lakers,117,87,New York Knicks,0.8055555555555556,0.2777777777777778
2019-2020,2020-01-08,Boston Celtics,114,129,San Antonio Spurs,0.7352941176470589,0.42857142857142855
2019-2020,2020-01-08,Charlotte Hornets,110,112,Toronto Raptors,0.38461538461538464,0.6486486486486487
2019-2020,2020-01-08,Indiana Pacers,108,122,Miami Heat,0.6216216216216216,0.7222222222222222
2019-2020,2020-01-08,Orlando Magic,123,89,Washington Wizards,0.4594594594594595,0.3333333333333333
2019-2020,2020-01-08,Atlanta Hawks,115,122,Houston Rockets,0.21621621621621623,0.6857142857142857
2019-2020,2020-01-08,Dallas Mavericks,106,107,Denver Nuggets,0.6388888888888888,0.6944444444444444
2019-2020,2020-01-08,New Orleans Pelicans,123,108,Chicago Bulls,0.32432432432432434,0.35135135135135137
2019-2020,2020-01-08,Utah Jazz,128,104,New York Knicks,0.6666666666666666,0.2702702702702703
2019-2020,2020-01-08,Golden State Warriors,98,107,Milwaukee Bucks,0.23684210526315788,0.8421052631578947
2019-2020,2020-01-09,Detroit Pistons,112,115,Cleveland Cavaliers,0.3684210526315789,0.2702702702702703
2019-2020,2020-01-09,Philadelphia 76ers,109,98,Boston Celtics,0.631578947368421,0.7142857142857143
2019-2020,2020-01-09,Minnesota Timberwolves,116,102,Portland Trail Blazers,0.3888888888888889,0.42105263157894735
2019-2020,2020-01-09,Oklahoma City Thunder,113,92,Houston Rockets,0.5675675675675675,0.6944444444444444
2019-2020,2020-01-10,Washington Wizards,111,101,Atlanta Hawks,0.32432432432432434,0.21052631578947367
2019-2020,2020-01-10,New York Knicks,111,123,New Orleans Pelicans,0.2631578947368421,0.34210526315789475
2019-2020,2020-01-10,Brooklyn Nets,117,113,Miami Heat,0.4444444444444444,0.7297297297297297
2019-2020,2020-01-10,Chicago Bulls,105,116,Indiana Pacers,0.34210526315789475,0.6052631578947368
2019-2020,2020-01-10,Memphis Grizzlies,134,121,San Antonio Spurs,0.42105263157894735,0.4444444444444444
2019-2020,2020-01-10,Phoenix Suns,98,94,Orlando Magic,0.3783783783783784,0.47368421052631576
2019-2020,2020-01-10,Utah Jazz,109,92,Charlotte Hornets,0.6756756756756757,0.375
2019-2020,2020-01-10,Dallas Mavericks,114,129,Los Angeles Lakers,0.6216216216216216,0.8108108108108109
2019-2020,2020-01-10,Sacramento Kings,106,127,Milwaukee Bucks,0.39473684210526316,0.8461538461538461
2019-2020,2020-01-10,Los Angeles Clippers,109,100,Golden State Warriors,0.6842105263157895,0.23076923076923078
2019-2020,2020-01-11,Houston Rockets,139,109,Minnesota Timberwolves,0.6756756756756757,0.40540540540540543
2019-2020,2020-01-11,Boston Celtics,140,105,New Orleans Pelicans,0.6944444444444444,0.358974358974359
2019-2020,2020-01-11,Detroit Pistons,99,108,Chicago Bulls,0.358974358974359,0.3333333333333333
2019-2020,2020-01-11,Oklahoma City Thunder,110,125,Los Angeles Lakers,0.5789473684210527,0.8157894736842105
2019-2020,2020-01-11,Dallas Mavericks,109,91,Philadelphia 76ers,0.6052631578947368,0.6410256410256411
2019-2020,2020-01-11,Denver Nuggets,103,111,Cleveland Cavaliers,0.7027027027027027,0.2894736842105263
2019-2020,2020-01-11,Portland Trail Blazers,101,122,Milwaukee Bucks,0.41025641025641024,0.85
2019-2020,2020-01-12,New York Knicks,124,121,Miami Heat,0.2564102564102564,0.7105263157894737
2019-2020,2020-01-12,Washington Wizards,116,127,Utah Jazz,0.34210526315789475,0.6842105263157895
2019-2020,2020-01-12,Brooklyn Nets,108,86,Atlanta Hawks,0.4594594594594595,0.20512820512820512
2019-2020,2020-01-12,Memphis Grizzlies,122,102,Golden State Warriors,0.4358974358974359,0.225
2019-2020,2020-01-12,Toronto Raptors,104,105,San Antonio Spurs,0.6578947368421053,0.43243243243243246
2019-2020,2020-01-12,Denver Nuggets,114,104,Los Angeles Clippers,0.6842105263157895,0.6923076923076923
2019-2020,2020-01-12,Phoenix Suns,100,92,Charlotte Hornets,0.39473684210526316,0.36585365853658536
2019-2020,2020-01-13,Detroit Pistons,110,117,New Orleans Pelicans,0.35,0.35
2019-2020,2020-01-13,Indiana Pacers,101,95,Philadelphia 76ers,0.6153846153846154,0.625
2019-2020,2020-01-13,Boston Celtics,113,101,Chicago Bulls,0.7027027027027027,0.35
2019-2020,2020-01-13,Minnesota Timberwolves,104,117,Oklahoma City Thunder,0.39473684210526316,0.5641025641025641
2019-2020,2020-01-13,Portland Trail Blazers,115,112,Charlotte Hornets,0.4,0.35714285714285715
2019-2020,2020-01-13,Sacramento Kings,112,114,Orlando Magic,0.38461538461538464,0.46153846153846156
2019-2020,2020-01-13,Los Angeles Lakers,128,99,Cleveland Cavaliers,0.8205128205128205,0.3076923076923077
2019-2020,2020-01-14,Atlanta Hawks,123,110,Phoenix Suns,0.2,0.41025641025641024
2019-2020,2020-01-14,Brooklyn Nets,107,118,Utah Jazz,0.47368421052631576,0.6923076923076923
2019-2020,2020-01-14,Memphis Grizzlies,121,110,Houston Rockets,0.45,0.6842105263157895
2019-2020,2020-01-14,Milwaukee Bucks,128,102,New York Knicks,0.8536585365853658,0.275
2019-2020,2020-01-14,Golden State Warriors,97,124,Dallas Mavericks,0.21951219512195122,0.6153846153846154
2019-2020,2020-01-14,Los Angeles Clippers,128,103,Cleveland Cavaliers,0.675,0.3
2019-2020,2020-01-15,Boston Celtics,103,116,Detroit Pistons,0.7105263157894737,0.34146341463414637
2019-2020,2020-01-15,Philadelphia 76ers,117,106,Brooklyn Nets,0.6097560975609756,0.46153846153846156
2019-2020,2020-01-15,Miami Heat,106,100,San Antonio Spurs,0.6923076923076923,0.4473684210526316
2019-2020,2020-01-15,Chicago Bulls,115,106,Washington Wizards,0.34146341463414637,0.3333333333333333
2019-2020,2020-01-15,Minnesota Timberwolves,99,104,Indiana Pacers,0.38461538461538464,0.625
2019-2020,2020-01-15,Oklahoma City Thunder,121,130,Toronto Raptors,0.575,0.6410256410256411
2019-2020,2020-01-15,Denver Nuggets,100,86,Charlotte Hornets,0.6923076923076923,0.3488372093023256
2019-2020,2020-01-15,Houston Rockets,107,117,Portland Trail Blazers,0.6666666666666666,0.4146341463414634
2019-2020,2020-01-15,Sacramento Kings,123,127,Dallas Mavericks,0.375,0.625
2019-2020,2020-01-15,Los Angeles Lakers,118,119,Orlando Magic,0.825,0.475
2019-2020,2020-01-16,New York Knicks,98,121,Phoenix Suns,0.2682926829268293,0.4
2019-2020,2020-01-16,Milwaukee Bucks,128,123,Boston Celtics,0.8571428571428571,0.6923076923076923
2019-2020,2020-01-16,New Orleans Pelicans,138,132,Utah Jazz,0.36585365853658536,0.7
2019-2020,2020-01-16,Golden State Warriors,131,134,Denver Nuggets,0.21428571428571427,0.7
2019-2020,2020-01-16,Los Angeles Clippers,122,95,Orlando Magic,0.6829268292682927,0.4878048780487805
2019-2020,2020-01-17,Indiana Pacers,116,114,Minnesota Timberwolves,0.6341463414634146,0.375
2019-2020,2020-01-17,Philadelphia 76ers,100,89,Chicago Bulls,0.6190476190476191,0.35714285714285715
2019-2020,2020-01-17,Toronto Raptors,140,111,Washington Wizards,0.65,0.325
2019-2020,2020-01-17,Memphis Grizzlies,113,109,Cleveland Cavaliers,0.4634146341463415,0.2926829268292683
2019-2020,2020-01-17,Oklahoma City Thunder,108,115,Miami Heat,0.5609756097560976,0.7
2019-2020,2020-01-17,San Antonio Spurs,120,121,Atlanta Hawks,0.4358974358974359,0.21951219512195122
2019-2020,2020-01-17,Dallas Mavericks,120,112,Portland Trail Blazers,0.6341463414634146,0.42857142857142855
2019-2020,2020-01-18,New Orleans Pelicans,130,133,Los Angeles Clippers,0.38095238095238093,0.6904761904761905
2019-2020,2020-01-18,Brooklyn Nets,97,117,Milwaukee Bucks,0.45,0.8604651162790697
2019-2020,2020-01-18,Boston Celtics,119,123,Phoenix Suns,0.675,0.4146341463414634
2019-2020,2020-01-18,Atlanta Hawks,103,136,Detroit Pistons,0.23809523809523808,0.35714285714285715
2019-2020,2020-01-18,New York Knicks,87,90,Philadelphia 76ers,0.2619047619047619,0.627906976744186
2019-2020,2020-01-18,Chicago Bulls,118,116,Cleveland Cavaliers,0.3488372093023256,0.2857142857142857
2019-2020,2020-01-18,Minnesota Timberwolves,112,122,Toronto Raptors,0.36585365853658536,0.6585365853658537
2019-2020,2020-01-18,Golden State Warriors,109,95,Orlando Magic,0.20930232558139536,0.47619047619047616
2019-2020,2020-01-18,Houston Rockets,115,124,Los Angeles Lakers,0.65,0.8048780487804879
2019-2020,2020-01-18,Oklahoma City Thunder,119,106,Portland Trail Blazers,0.5476190476190477,0.4186046511627907
2019-2020,2020-01-18,Utah Jazz,123,101,Sacramento Kings,0.6829268292682927,0.36585365853658536
2019-2020,2020-01-19,San Antonio Spurs,107,102,Miami Heat,0.425,0.7073170731707317
2019-2020,2020-01-19,Denver Nuggets,107,115,Indiana Pacers,0.7073170731707317,0.6428571428571429
2019-2020,2020-01-20,Washington Wizards,106,100,Detroit Pistons,0.3170731707317073,0.37209302325581395
2019-2020,2020-01-20,Atlanta Hawks,117,122,Toronto Raptors,0.23255813953488372,0.6666666666666666
2019-2020,2020-01-20,Brooklyn Nets,111,117,Philadelphia 76ers,0.43902439024390244,0.6363636363636364
2019-2020,2020-01-20,Charlotte Hornets,83,106,Orlando Magic,0.3409090909090909,0.46511627906976744
2019-2020,2020-01-20,Cleveland Cavaliers,86,106,New York Knicks,0.27906976744186046,0.2558139534883721
2019-2020,2020-01-20,Houston Rockets,107,112,Oklahoma City Thunder,0.6341463414634146,0.5581395348837209
2019-2020,2020-01-20,Memphis Grizzlies,116,126,New Orleans Pelicans,0.47619047619047616,0.37209302325581395
2019-2020,2020-01-20,Miami Heat,118,113,Sacramento Kings,0.6904761904761905,0.35714285714285715
2019-2020,2020-01-20,Milwaukee Bucks,111,98,Chicago Bulls,0.8636363636363636,0.36363636363636365
2019-2020,2020-01-20,Boston Celtics,139,107,Los Angeles Lakers,0.6585365853658537,0.8095238095238095
2019-2020,2020-01-20,Minnesota Timberwolves,100,107,Denver Nuggets,0.35714285714285715,0.6904761904761905
2019-2020,2020-01-20,Phoenix Suns,118,120,San Antonio Spurs,0.42857142857142855,0.43902439024390244
2019-2020,2020-01-20,Utah Jazz,118,88,Indiana Pacers,0.6904761904761905,0.6511627906976745
2019-2020,2020-01-20,Portland Trail Blazers,129,124,Golden State Warriors,0.4090909090909091,0.22727272727272727
2019-2020,2020-01-21,Dallas Mavericks,107,110,Los Angeles Clippers,0.6428571428571429,0.6976744186046512
2019-2020,2020-01-22,Detroit Pistons,127,106,Sacramento Kings,0.36363636363636365,0.3488372093023256
2019-2020,2020-01-22,Orlando Magic,114,120,Oklahoma City Thunder,0.4772727272727273,0.5681818181818182
2019-2020,2020-01-22,Toronto Raptors,107,95,Philadelphia 76ers,0.6744186046511628,0.6444444444444445
2019-2020,2020-01-22,Atlanta Hawks,102,95,Los Angeles Clippers,0.22727272727272727,0.7045454545454546
2019-2020,2020-01-22,Boston Celtics,119,95,Memphis Grizzlies,0.6666666666666666,0.46511627906976744
2019-2020,2020-01-22,Miami Heat,134,129,Washington Wizards,0.6976744186046512,0.3333333333333333
2019-2020,2020-01-22,New York Knicks,92,100,Los Angeles Lakers,0.2727272727272727,0.7906976744186046
2019-2020,2020-01-22,Chicago Bulls,117,110,Minnesota Timberwolves,0.35555555555555557,0.3488372093023256
2019-2020,2020-01-22,Houston Rockets,121,105,Denver Nuggets,0.6190476190476191,0.6976744186046512
2019-2020,2020-01-22,Phoenix Suns,87,112,Indiana Pacers,0.4186046511627907,0.6363636363636364
